"V1","Demeaned series  cpi_all_mom","Constructed series  cpi_all_mom","Cumulative effect of  oil_USD shock on  cpi_all_mom","Cumulative effect of  imp_price_mom shock on  cpi_all_mom","Cumulative effect of  miacr_31 shock on  cpi_all_mom","Cumulative effect of  neer_mom shock on  cpi_all_mom","Cumulative effect of  gdp_per_cap_SA shock on  cpi_all_mom","Cumulative effect of  cpi_all_mom shock on  cpi_all_mom"
51,-0.00327669729577545,-0.00324968907161396,-0.000753012316015879,-0.000590141656548591,-0.000300223625588195,-0.000286129905689381,-0.00044971082988394,-0.000870470737887971
52,-0.00483411218402861,-0.00478108754268015,-0.00067153146608889,-0.000389349813405505,1.24086016156124e-06,-0.00100314692787209,-0.00164732618755834,-0.00107097400791689
53,-0.00283041257243115,-0.00275187136028837,-0.000358867235183788,-0.000515092802519479,0.000687780407058522,-0.00153673624190633,0.000545852094291431,-0.00157480758202872
54,-0.00232703498745839,-0.0022001187114332,-0.000124139578454047,-0.000897431087466299,0.000644615187504817,-0.00129866585870372,0.00104529531622119,-0.00156979269053514
55,0.00012161413769427,0.000275095487584094,0.000450795401149219,-0.000590944551404637,0.000840266456678819,-0.00131963074472275,0.00198430203890779,-0.00108969311302435
56,-0.00053005208618393,-0.000372801541254403,0.000537455473699547,-0.000430102123468785,-0.00138536874005104,-0.00187264046214266,0.00332783732458829,-0.000549983013879757
57,-0.00102341836422618,-0.000846301143867581,5.68602349184846e-05,2.34197506008427e-05,-0.00202063563564697,-0.00195287873792008,0.00415824065894684,-0.00111130741476669
58,-0.00228965964343384,-0.00209973300110194,-0.000166326759460487,0.000185194532692341,-0.00133343224493784,-0.00219387706649466,0.00309305726169662,-0.00168434872459791
59,-0.00057383818668983,-0.000401972388662567,0.000167686207773671,0.000579221986285517,-0.00198223903661659,-0.00197576740586047,0.00407867011589422,-0.00126954425613892
60,-0.000942174998983861,-0.00078345336977794,0.000494399210082791,0.00109503057334082,-0.00232898730261104,-0.00139787464816407,0.00172051805338704,-0.000366539255813484
61,-0.00127572571333282,-0.00112141318543711,0.000457646408279556,0.000810410771173898,-0.00311346001590105,-0.000935636124650723,0.0018807156395663,-0.000221089863905088
62,0.00469583593152022,0.00482181868374997,0.000505393987988757,0.000896471138409476,-0.0022038980196644,-0.000636252498841744,0.00630403928042381,-4.39352045659319e-05
63,0.00495020913822202,0.00504255337911738,0.000186967050635759,0.00132598742061571,-0.00183689278025939,-0.000545136543806515,0.0056426878871454,0.000268940344786411
64,-8.348875976023e-05,-6.03825327329071e-06,-5.00934457105032e-05,0.000614206332878681,-0.000920561400317382,5.39504035270958e-05,0.000414000156116937,-0.00011754029976812
65,0.0021035832121752,0.00215819593627855,0.000227573515208058,-0.000267209528126771,0.000415313897371331,0.000694843901254113,0.00147709240685824,-0.000389418256286423
66,0.00396323316289752,0.00398395366105873,0.000343081785894787,-0.000234313869505313,0.000570360804730891,0.000703610078469174,0.00287524795484216,-0.000274033093372967
67,0.00852738286378942,0.00853364467627872,-0.000146966551388862,-0.000652698685633935,0.00027307977097301,1.46949316534623e-05,0.00917147124601878,-0.000125936035343738
68,-0.000674104014069941,-0.000674032254604728,-0.000728329184870874,-0.000865781264689943,9.08212431464667e-05,-0.000412890598132488,0.00171436650623294,-0.000472218956290828
69,-0.00097761688481969,-0.000995142118065354,-0.000954665792522798,-0.000163944760776286,-0.000219940060491068,-0.000441440447185677,0.00105566901126311,-0.000270820068352639
70,-0.0009533707438964,-0.000976774811986436,-0.00138767084378917,0.000118545894971553,-0.000215810085305757,0.000545135317414851,-4.79704704558705e-05,1.09953751779572e-05
71,-0.00095758704850714,-0.000969287719931802,-0.00126224267151189,-6.14206192203699e-05,-0.000182194622505394,0.000698710019867167,-0.000307455908111574,0.000145316081550258
72,-0.00275576296867354,-0.00276338222307847,-0.000168113402182433,-0.000640547873800334,-3.7976059156249e-05,-0.00123612215405272,-0.00131879666239324,0.000638173928506507
73,-0.00546081110728623,-0.00546429941721717,0.000333265004163396,-0.000958897518149051,-0.000415915438161073,-0.00214976752658058,-0.00334308644474717,0.00107010250625731
74,-0.00330364875935734,-0.00328565416832351,0.000165798075425441,-0.000301325700387151,-0.000640551568666909,-0.000987179379035187,-0.00188194473858192,0.000359549142922212
